anno,region,zona,acceso_int,quintil,niveduc,sexo,edad,tipo_acceso,edad_tramo,usa_computador,usa_smartphone,exp_hog
2012,10 los_lagos,rural,si,Q1,sup_universitaria_completa,mujer,60.0,Sólo Móvil,56–60,si,si,581.510009765625
2012,11 aysen,rural,no,Q1,basica_incompleta,hombre,37.0,Ninguna,36–40,no,no,42.7400016784668
2012,11 aysen,rural,si,Q1,sup_universitaria_incompleta,hombre,41.0,Sólo Móvil,41–45,si,si,42.7400016784668
2012,11 aysen,rural,no,Q1,media_tp_incompleta,mujer,29.0,Ninguna,26–30,no,no,42.7400016784668
2012,11 aysen,rural,no,Q1,basica_completa,hombre,42.0,Ninguna,41–45,no,no,17.8819999694824
2012,11 aysen,rural,no,Q1,sup_universitaria_completa,mujer,73.0,Ninguna,71–75,no,no,17.8819999694824
2012,12 magallanes,rural,si,Q1,sup_universitaria_incompleta,hombre,20.0,Sólo Móvil,18–20,si,no,23.1110000610351
2012,12 magallanes,rural,si,Q1,sup_tecnica_completa,mujer,36.0,Sólo Móvil,36–40,si,si,8.19099998474121
2012,12 magallanes,rural,si,Q1,media_tp_incompleta,mujer,31.0,Sólo Móvil,31–35,si,no,8.19099998474121
2012,12 magallanes,rural,si,Q1,media_tp_completa,mujer,42.0,Sólo Fija,41–45,si,no,8.19099998474121
2012,12 magallanes,rural,si,Q1,sup_tecnica_completa,hombre,34.0,Sólo Fija,31–35,si,no,8.19099998474121
2012,12 magallanes,rural,si,Q1,sup_tecnica_completa,mujer,27.0,Sólo Móvil,26–30,si,no,8.19099998474121
2012,12 magallanes,rural,si,Q1,media_ch_incompleta,mujer,47.0,Sólo Fija,46–50,si,no,8.19099998474121
2012,12 magallanes,rural,si,Q1,sup_tecnica_completa,hombre,54.0,Sólo Móvil,51–55,si,si,8.19099998474121
2012,12 magallanes,rural,si,Q1,sup_tecnica_completa,mujer,44.0,Sólo Móvil,41–45,no,si,8.19099998474121
2012,12 magallanes,rural,si,Q1,media_tp_completa,hombre,32.0,Sólo Móvil,31–35,si,no,18.4740009307861
2012,12 magallanes,rural,no,Q1,basica_completa,hombre,51.0,Ninguna,51–55,no,no,14.8249998092651
2012,12 magallanes,rural,no,Q1,sup_tecnica_completa,hombre,27.0,Ninguna,26–30,no,no,14.8249998092651
