Feature,SHAP
n_act,0.07700494102363888
edad,0.06102503013690677
intens,0.04989136118585502
n_disp,0.03772422748620493
uso_spe,0.0375603655407411
pago_mov,0.031910596458488406
pago_int,0.02476078564725136
sexoe,0.020889404163417256
zonae,0.010324965708209621
