nombre_columna,tipo_datos,valores_unicos,null_count,descripcion
uso_smartphone,object,2,0,
smartphone_propio,float64,2,266,
Q7_2_1,float64,2,304,
Q7_2_2,float64,2,304,
Q7_2_3,float64,2,304,
Q7_2_4,float64,2,304,
plan_movil_tipo_ind,float64,2,304,
pago_mensual_movil,float64,294,443,
Q8_1,float64,2,242,
Q8_2,float64,2,242,
Q8_3,float64,2,242,
Q8_4,float64,2,242,
Q8_5,float64,2,242,
Q8_6,float64,2,242,
Q8_7,float64,2,242,
Q8_8,float64,2,242,
Q8_9,float64,2,242,
Q8_10,float64,2,242,
Q8_11,float64,2,242,
Q8_12,float64,2,242,
Q8_13,float64,2,242,
Q8_14,float64,2,242,
Q8_15,float64,2,242,
Q8_16,float64,2,242,
Q8_17,float64,2,242,
Q8_18,float64,2,242,
Q8_19,float64,2,242,
ultimo_uso_internet,object,7,0,
frecuencia_internet,object,4,269,
tiempo_diario_internet,object,4,801,
Q11_1_1,float64,2,269,
Q11_1_2,float64,2,269,
Q11_1_3,float64,2,269,
Q11_1_4,float64,2,269,
Q11_1_5,float64,2,269,
Q11_1_6,float64,2,269,
Q11_1_7,float64,2,269,
Q11_1_8,float64,2,269,
Q11_1_9,float64,2,269,
Q12_1,float64,2,269,
Q12_2,float64,2,269,
Q12_3,float64,2,269,
Q12_4,float64,2,269,
Q12_5,float64,2,269,
tipo_acceso_mas_usado,float64,4,2710,
uso_internet_hogar,float64,2,269,
frecuencia_internet_hogar,float64,4,524,
tiempo_diario_hogar,float64,4,906,
uso_internet_fuera_hogar,float64,2,269,
frecuencia_fuera_hogar,float64,4,1805,
tiempo_diario_fuera_hogar,float64,4,2841,
Q20_1,float64,2,1805,
Q20_2,float64,2,1805,
Q20_3,float64,2,1805,
Q20_4,float64,2,1805,
Q20_5,float64,2,1805,
Q20_6,float64,2,1805,
Q20_7,float64,2,1805,
Q20_8,float64,2,1805,
Q21_1,float64,2,269,
Q21_2,float64,2,269,
Q21_3,float64,2,269,
Q21_4,float64,2,269,
Q21_5,float64,2,269,
Q21_6,float64,2,269,
Q21_7,float64,2,269,
Q21_8,float64,2,269,
Q21_9,float64,2,269,
Q21_10,float64,2,269,
Q21_11,float64,2,269,
Q21_12,float64,2,269,
Q21_13,float64,2,269,
Q21_14,float64,2,269,
Q21_15,float64,2,269,
Q21_16,float64,2,269,
Q21_17,float64,2,269,
Q21_18,float64,2,269,
Q21_19,float64,2,269,
Q21_20,float64,2,269,
Q21_21,float64,2,269,
Q21_22,float64,2,269,
Q21_23,float64,2,269,
Q21_24,float64,2,269,
Q21_25,float64,2,269,
Q21_26,float64,2,269,
Q21_27,float64,2,269,
Q21_28,float64,2,269,
Q21_29,float64,2,269,
Q21_30,float64,2,269,
Q21_31,float64,2,269,
Q21_32,float64,2,269,
Q21_33,float64,2,269,
Q21_34,float64,2,269,
Q21_35,float64,2,269,
Q21_36,float64,2,269,
Q21_37,float64,2,269,
Q21_38,float64,2,269,
Q21_39,float64,2,269,
Q21_40,float64,2,269,
Q21_41,float64,2,269,
Q21_42,float64,2,269,
Q21_43,float64,2,269,
Q21_44,float64,2,269,
Q21_45,float64,2,269,
Q21_46,float64,2,269,
Q21_47,float64,2,269,
Q21_48,float64,2,269,
internet_facilita_trabajo,object,2,269,
Q24,object,3164,0,
Q24_CODIF_1,float64,2,1645,
Q24_CODIF_2,float64,2,1645,
Q24_CODIF_3,float64,2,1645,
Q24_CODIF_4,float64,2,1645,
Q24_CODIF_5,float64,2,1645,
Q24_CODIF_6,float64,2,1645,
Q24_CODIF_7,float64,2,1645,
Q24_CODIF_8,float64,2,1645,
Q24_CODIF_9,float64,2,1645,
Q24_CODIF_10,float64,2,1645,
Q24_CODIF_11,float64,1,1645,
Q24_CODIF_12,float64,2,1645,
Q24_CODIF_13,float64,2,1645,
Q24_CODIF_14,float64,2,1645,
Q24_CODIF_15,float64,2,1645,
Q24_CODIF_16,float64,2,1645,
Q24_CODIF_17,float64,2,1645,
Q24_CODIF_18,float64,2,1645,
Q24_CODIF_19,float64,2,1645,
Q24_CODIF_20,float64,2,1645,
Q24_CODIF_21,float64,2,1645,
Q24_CODIF_22,float64,2,1645,
Q24_CODIF_23,float64,2,1645,
Q24_CODIF_24,float64,2,1645,
Q24_CODIF_25,float64,2,1645,
Q24_CODIF_26,float64,2,1645,
Q24_CODIF_27,float64,2,1645,
Q24_CODIF_28,float64,2,1645,
Q24_CODIF_29,float64,2,1645,
Q24_CODIF_30,float64,2,1645,
Q24_CODIF_31,float64,2,1645,
Q24_CODIF_32,float64,2,1645,
Q24_CODIF_33,float64,2,1645,
Q24_CODIF_34,float64,2,1645,
Q24_CODIF_35,float64,2,1645,
Q24_CODIF_36,float64,2,1645,
Q24_CODIF_37,float64,2,1645,
Q24_CODIF_38,float64,1,1645,
Q24_CODIF_39,float64,2,1645,
Q24_CODIF_40,float64,2,1645,
Q24_CODIF_41,float64,2,1645,
Q24_CODIF_42,float64,1,1645,
Q24_CODIF_43,float64,2,1645,
Q24_CODIF_44,float64,2,1645,
Q24_CODIF_45,float64,1,1645,
Q24_CODIF_46,float64,2,1645,
Q24_CODIF_47,float64,1,1645,
Q24_CODIF_48,float64,1,1645,
Q24_CODIF_49,float64,1,1645,
Q24_CODIF_50,float64,2,1645,
Q24_CODIF_51,float64,2,1645,
Q24_CODIF_52,float64,2,1645,
Q24_CODIF_53,float64,2,1645,
Q24_CODIF_54,float64,2,1645,
Q24_CODIF_55,float64,2,1645,
internet_mejora_vida,object,2,3428,
Q26,object,1179,0,
Q26_CODIF_1,float64,2,3772,
Q26_CODIF_2,float64,2,3772,
Q26_CODIF_3,float64,2,3772,
Q26_CODIF_4,float64,2,3772,
Q26_CODIF_5,float64,1,3772,
Q26_CODIF_6,float64,2,3772,
Q26_CODIF_7,float64,1,3772,
Q26_CODIF_8,float64,2,3772,
Q26_CODIF_9,float64,2,3772,
Q26_CODIF_10,float64,2,3772,
Q26_CODIF_11,float64,2,3772,
Q26_CODIF_12,float64,2,3772,
Q26_CODIF_13,float64,2,3772,
Q26_CODIF_14,float64,2,3772,
Q26_CODIF_15,float64,2,3772,
Q26_CODIF_16,float64,2,3772,
Q26_CODIF_17,float64,2,3772,
Q26_CODIF_18,float64,2,3772,
Q26_CODIF_19,float64,2,3772,
Q26_CODIF_20,float64,2,3772,
Q26_CODIF_21,float64,2,3772,
Q26_CODIF_22,float64,2,3772,
Q26_CODIF_23,float64,2,3772,
Q26_CODIF_24,float64,2,3772,
Q26_CODIF_25,float64,2,3772,
Q26_CODIF_26,float64,2,3772,
Q26_CODIF_27,float64,2,3772,
Q26_CODIF_28,float64,2,3772,
Q26_CODIF_29,float64,1,3772,
Q26_CODIF_30,float64,2,3772,
Q26_CODIF_31,float64,2,3772,
Q26_CODIF_32,float64,2,3772,
Q26_CODIF_33,float64,2,3772,
Q26_CODIF_34,float64,2,3772,
Q26_CODIF_35,float64,2,3772,
Q26_CODIF_36,float64,2,3772,
Q26_CODIF_37,float64,2,3772,
Q26_CODIF_38,float64,1,3772,
Q26_CODIF_39,float64,2,3772,
Q26_CODIF_40,float64,2,3772,
Q26_CODIF_41,float64,2,3772,
Q26_CODIF_42,float64,2,3772,
Q26_CODIF_43,float64,2,3772,
Q26_CODIF_44,float64,2,3772,
Q26_CODIF_45,float64,2,3772,
Q26_CODIF_46,float64,1,3772,
Q26_CODIF_47,float64,1,3772,
Q26_CODIF_48,float64,1,3772,
Q26_CODIF_49,float64,2,3772,
Q26_CODIF_50,float64,2,3772,
Q26_CODIF_51,float64,2,3772,
Q26_CODIF_52,float64,2,3772,
Q26_CODIF_53,float64,2,3772,
Q26_CODIF_54,float64,2,3772,
ultima_compra_online,float64,7,269,
Q28_1,float64,2,2387,
Q28_2,float64,2,2387,
Q28_3,float64,2,2387,
Q28_4,float64,2,2387,
Q28_5,float64,2,2387,
Q28_6,float64,2,2387,
Q28_7,float64,2,2387,
Q28_8,float64,2,2387,
Q28_9,float64,2,2387,
Q28_10,float64,2,2387,
Q28_11,float64,2,2387,
Q28_12,float64,2,2387,
Q28_13,float64,2,2387,
Q28_14,float64,2,2387,
Q28_15,float64,2,2387,
Q28_16,float64,2,2387,
Q28_17,float64,2,2387,
Q28_18,float64,2,2387,
Q28_19,float64,2,2387,
Q28_20,float64,2,2387,
Q28_21,float64,2,2387,
Q28_22,float64,2,2387,
Q28_23,float64,2,2387,
Q28_24,float64,2,2387,
Q28_25,float64,2,2387,
Q28_26,float64,2,2387,
Q28_27,float64,2,2387,
Q28_28,float64,2,2387,
Q28_29,float64,2,2387,
Q28_30,float64,2,2387,
Q28_31,float64,2,2387,
Q28_32,float64,2,2387,
Q28_33,float64,2,2387,
Q28_34,float64,2,2387,
Q28_35,float64,2,2387,
Q28_36,float64,2,2387,
Q28_OTRA,object,133,0,
reg_control_legal,float64,3,269,
reg_control_familia,float64,3,269,
reg_autocontrol,float64,3,269,
percepcion_proteccion,object,5,269,
Q32_1,float64,2,269,
Q32_2,float64,2,269,
Q32_3,float64,2,269,
Q32_4,float64,2,269,
Q32_5,float64,2,269,
Q32_6,float64,2,269,
Q32_7,float64,2,269,
Q32_8,float64,2,269,
Q32_9,float64,2,269,
Q32_10,float64,2,269,
Q32_11,float64,2,269,
Q32_12,float64,2,269,
Q32_13,float64,2,269,
Q32_14,float64,2,269,
Q32_15,float64,2,269,
Q32_16,float64,2,269,
Q32_17,float64,2,269,
Q32_18,float64,2,269,
Q32_19,float64,2,269,
