anno,region,zona,acceso_int,quintil,niveduc,sexo,edad,tipo_acceso,edad_tramo,usa_computador,usa_smartphone
2013,8 biobio,urbano,si,Q4,sup_tecnica_completa,hombre,28.0,Otro,26–30,si,si
2013,8 biobio,urbano,si,Q4,sup_universitaria_completa,hombre,24.0,Sólo Móvil,21–25,no,si
2013,8 biobio,urbano,si,Q5,media_tp_completa,mujer,50.0,Sólo Fija,46–50,si,si
2013,8 biobio,urbano,si,Q4,media_tp_completa,mujer,30.0,Sólo Fija,26–30,si,si
2013,9 araucania,urbano,si,Q5,sup_tecnica_completa,hombre,28.0,Sólo Fija,26–30,si,no
2013,9 araucania,urbano,si,Q5,media_tp_completa,mujer,28.0,Sólo Fija,26–30,si,no
2013,9 araucania,urbano,no,Q4,media_ch_completa,mujer,47.0,Ninguna,46–50,no,no
2013,9 araucania,urbano,si,Q5,media_tp_completa,hombre,19.0,Sólo Fija,18–20,si,no
2013,9 araucania,urbano,si,Q2,basica_completa,mujer,47.0,Sólo Fija,46–50,si,no
2013,9 araucania,urbano,no,Q2,media_tp_completa,hombre,23.0,Ninguna,21–25,no,no
2013,9 araucania,urbano,si,Q4,media_tp_incompleta,mujer,33.0,Sólo Móvil,31–35,si,no
2013,9 araucania,urbano,si,Q5,media_tp_incompleta,mujer,22.0,Sólo Fija,21–25,si,no
2013,9 araucania,urbano,no,Q4,media_tp_completa,hombre,56.0,Ninguna,56–60,no,no
2013,9 araucania,urbano,no,Q3,media_ch_completa,mujer,64.0,Ninguna,61–65,no,no
2013,9 araucania,urbano,no,Q4,media_tp_completa,mujer,19.0,Ninguna,18–20,no,no
2013,9 araucania,urbano,no,Q2,media_ch_completa,hombre,35.0,Ninguna,31–35,no,no
2013,9 araucania,urbano,si,Q4,sup_universitaria_incompleta,hombre,28.0,Sólo Fija,26–30,si,no
2013,9 araucania,urbano,si,Q4,sup_universitaria_incompleta,hombre,21.0,Sólo Fija,21–25,si,no
2013,9 araucania,urbano,no,Q2,basica_completa,hombre,65.0,Ninguna,61–65,no,no
2013,9 araucania,urbano,no,Q1,basica_incompleta,mujer,73.0,Ninguna,71–75,no,no
2013,9 araucania,urbano,no,Q3,basica_incompleta,hombre,58.0,Ninguna,56–60,no,no
2013,9 araucania,urbano,si,Q5,sup_universitaria_completa,mujer,23.0,Sólo Fija,21–25,si,no
2013,9 araucania,urbano,no,Q3,sup_universitaria_incompleta,hombre,24.0,Ninguna,21–25,no,no
2013,9 araucania,urbano,si,Q4,media_tp_completa,mujer,39.0,Sólo Móvil,36–40,si,no
2013,9 araucania,urbano,no,Q3,basica_incompleta,mujer,56.0,Ninguna,56–60,no,no
2013,9 araucania,urbano,no,Q3,media_tp_incompleta,mujer,55.0,Ninguna,51–55,no,no
2013,9 araucania,urbano,no,Q3,media_ch_completa,hombre,60.0,Ninguna,56–60,no,no
2013,9 araucania,urbano,no,Q3,media_tp_completa,mujer,38.0,Ninguna,36–40,no,no
2013,9 araucania,urbano,no,Q3,media_tp_completa,hombre,21.0,Ninguna,21–25,no,no
2013,9 araucania,urbano,no,Q3,basica_completa,mujer,49.0,Ninguna,46–50,no,no
2013,9 araucania,urbano,si,Q5,media_tp_completa,mujer,38.0,Sólo Móvil,36–40,si,no
2013,9 araucania,urbano,no,Q2,sup_universitaria_incompleta,mujer,18.0,Ninguna,18–20,no,no
2013,9 araucania,urbano,si,Q5,media_ch_completa,hombre,32.0,Sólo Fija,31–35,si,no
2013,9 araucania,urbano,si,Q1,media_ch_completa,mujer,68.0,Sólo Fija,66–70,si,no
2013,9 araucania,urbano,no,Q2,basica_completa,mujer,42.0,Ninguna,41–45,no,no
2013,9 araucania,urbano,si,Q4,media_tp_completa,mujer,19.0,Sólo Fija,18–20,si,no
2013,9 araucania,urbano,no,Q2,media_tp_completa,hombre,45.0,Ninguna,41–45,no,no
2013,9 araucania,urbano,no,Q4,media_tp_completa,hombre,40.0,Ninguna,36–40,no,no
2013,9 araucania,urbano,si,Q4,media_ch_completa,hombre,35.0,Sólo Fija,31–35,si,no
2013,9 araucania,urbano,no,Q2,media_tp_completa,hombre,39.0,Ninguna,36–40,no,no
2013,9 araucania,urbano,no,Q3,basica_completa,mujer,32.0,Ninguna,31–35,no,no
2013,8 biobio,urbano,si,Q5,sup_universitaria_incompleta,hombre,22.0,Sólo Fija,21–25,si,si
2013,8 biobio,urbano,si,Q5,sup_universitaria_incompleta,mujer,36.0,Sólo Móvil,36–40,si,si
2013,8 biobio,urbano,no,Q5,sup_universitaria_incompleta,hombre,50.0,Ninguna,46–50,no,no
